"","event","event_size","datetime","actor"
"1","http://www.theguardian.com/football/blog/2010/may/01/john-terry-chelsea-struggles#reduceEvent","28","2010-04-30","http://dbpedia.org/resource/Wayne_Rooney"
"2","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/30/7YRN-2N21-2RYX-11TK.xml#whackEvent","39","2010-04-30","http://dbpedia.org/resource/Roy_Krishna"
"3","http://www.theguardian.com/football/blog/2010/may/01/john-terry-chelsea-struggles#addEvent","40","2010-04-30","http://dbpedia.org/resource/John_Terry"
"4","http://www.theguardian.com/football/blog/2010/may/01/john-terry-chelsea-struggles#affairEvent","20","2010-04-30","http://dbpedia.org/resource/John_Terry"
"5","http://www.theguardian.com/football/blog/2010/may/01/john-terry-chelsea-struggles#availabilityEvent","20","2010-04-30","http://dbpedia.org/resource/John_Terry"
"6","http://www.theguardian.com/football/blog/2010/may/01/john-terry-chelsea-struggles#characterEvent","24","2010-04-30","http://dbpedia.org/resource/John_Terry"
"7","http://www.theguardian.com/football/blog/2010/may/01/john-terry-chelsea-struggles#confirmEvent","20","2010-04-30","http://dbpedia.org/resource/John_Terry"
"8","http://www.theguardian.com/football/blog/2010/may/01/john-terry-chelsea-struggles#decisionEvent","36","2010-04-30","http://dbpedia.org/resource/John_Terry"
"9","http://www.theguardian.com/football/blog/2010/may/01/john-terry-chelsea-struggles#kickEvent","36","2010-04-30","http://dbpedia.org/resource/John_Terry"
"10","http://www.theguardian.com/football/blog/2010/may/01/john-terry-chelsea-struggles#overcomeEvent","24","2010-04-30","http://dbpedia.org/resource/John_Terry"
"11","http://www.theguardian.com/football/blog/2010/may/01/john-terry-chelsea-struggles#reappearanceEvent","20","2010-04-30","http://dbpedia.org/resource/John_Terry"
"12","http://www.theguardian.com/football/blog/2010/may/01/john-terry-chelsea-struggles#returnEvent","40","2010-04-30","http://dbpedia.org/resource/John_Terry"
"13","http://www.theguardian.com/football/blog/2010/may/01/john-terry-chelsea-struggles#succeedEvent","36","2010-04-30","http://dbpedia.org/resource/John_Terry"
"14","http://www.theguardian.com/football/blog/2010/may/01/john-terry-chelsea-struggles#swallowEvent","28","2010-04-30","http://dbpedia.org/resource/John_Terry"
"15","http://www.theguardian.com/football/blog/2010/may/01/john-terry-chelsea-struggles#tongueEvent","20","2010-04-30","http://dbpedia.org/resource/John_Terry"
"16","http://www.theguardian.com/football/blog/2010/may/01/john-terry-chelsea-struggles#getEvent","1152","2010-04-30","http://dbpedia.org/resource/Herculez_Gomez"
"17","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/30/7YBW-G781-2PBV-B279.xml#getEvent","74","2010-04-30","http://dbpedia.org/resource/Herculez_Gomez"
