"","event","event_size","datetime","actor"
"1","http://www.theguardian.com/football/blog/2010/may/01/john-terry-chelsea-struggles#addEvent","40","2010-04-30","http://dbpedia.org/resource/John_Terry"
"2","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/29/7YBR-K2F0-YBF8-H53T.xml#fanEvent","96","2010-04-29","http://dbpedia.org/resource/Kaká"
"3","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/29/7YBH-Y7H0-Y9NT-21TV.xml#believeEvent","8","2010-04-29","http://dbpedia.org/resource/Glen_Moss"
"4","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/29/7YBH-Y7H0-Y9NT-21TV.xml#likeEvent","9","2010-04-29","http://dbpedia.org/resource/Glen_Moss"
"5","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YBF-C8G0-Y9M7-V1WS.xml#missEvent","11","2010-04-28","http://dbpedia.org/resource/David_Beckham"
"6","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YB9-C121-2RYX-103K.xml#careerEvent","57","2010-04-28","http://dbpedia.org/resource/Gabriel_Batistuta"
"7","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YB9-C121-2RYX-103K.xml#believeEvent","8","2010-04-28","http://dbpedia.org/resource/Craig_Moore"
"8","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YBG-10X1-2R6N-X02J.xml#dislikeEvent","7","2010-04-28","http://dbpedia.org/resource/Fredy_Montero"
"9","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/26/7YB7-JGT1-2PFT-70KH.xml#missEvent","36","2010-04-26","http://dbpedia.org/resource/Jérémy_Toulalan"
"10","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/26/7YB7-P3X0-Y9P6-J53X.xml#likesEvent","5","2010-04-26","http://dbpedia.org/resource/Kaká"
"11","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/26/7YC2-SW11-2R6N-T0D0.xml#believeEvent","10","2010-04-26","http://dbpedia.org/resource/Martin_Keown"
"12","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/26/7YC2-SW11-2R6N-T0D0.xml#supportEvent","13","2010-04-26","http://dbpedia.org/resource/Martin_Keown"
"13","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/26/7YB7-DF30-YB58-K0PB.xml#likesEvent","5","2010-04-26","http://dbpedia.org/resource/Lionel_Messi"
"14","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/25/7Y9W-09P1-2R6N-80J1.xml#wantEvent","258","2010-04-25","http://dbpedia.org/resource/David_Beckham"
"15","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/25/7Y9W-09P1-2R6N-80J1.xml#wantEvent","258","2010-04-25","http://dbpedia.org/resource/Mario_Balotelli"
"16","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/25/7YBJ-D4D1-2R69-R077.xml#relationshipEvent","5","2010-04-25","http://dbpedia.org/resource/Zinedine_Zidane"
"17","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/25/7YBJ-D4D1-2R69-R077.xml#followEvent","10","2010-04-25","http://dbpedia.org/resource/Laurie_Cunningham"
"18","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/23/7Y9M-4BX0-Y9NR-R1PM.xml#missEvent","45","2010-04-23","http://dbpedia.org/resource/David_Beckham"
"19","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/23/7Y9M-4C20-YC5G-10FM.xml#sponsorEvent","12","2010-04-23","http://dbpedia.org/resource/Cristiano_Ronaldo"
"20","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/22/7Y9C-P0X0-Y8TX-20CP.xml#missEvent","36","2010-04-22","http://dbpedia.org/resource/Charlie_Davies"
"21","http://www.theguardian.com/football/2010/apr/22/david-beckham-wealth#missEvent","65","2010-04-22","http://dbpedia.org/resource/David_Beckham"
"22","http://www.theguardian.com/football/2010/apr/22/david-beckham-wealth#sponsorEvent","135","2010-04-22","http://dbpedia.org/resource/Kaká"
"23","http://www.theguardian.com/football/2010/apr/22/david-beckham-wealth#sponsorEvent","135","2010-04-22","http://dbpedia.org/resource/Cristiano_Ronaldo"
"24","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/22/7Y9D-53M0-Y9NR-R1YR.xml#wantEvent","8","2010-04-22","http://dbpedia.org/resource/Charlie_Davies"
"25","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/22/7Y9C-P0X0-Y8TX-20CP.xml#careerEvent","33","2010-04-22","http://dbpedia.org/resource/Charlie_Davies"
