Player name,GI ID,GI Caption,Basecamp image slug,Original image slug
Mathew Ryan,http://en.wikipedia.org/wiki/Mathew_Ryan,,,
Ivan Franjic,http://en.wikipedia.org/wiki/Ivan_Franji%C4%87,,,
Jason Davidson,http://en.wikipedia.org/wiki/Jason_Davidson,,,
Mark Milligan,http://en.wikipedia.org/wiki/Mark_Milligan,,,
Matthew Spiranovic,http://en.wikipedia.org/wiki/Matthew_%C5%A0piranovi%C4%87,,,
Mathew Leckie,http://en.wikipedia.org/wiki/Mathew_Leckie,,,
Bailey Wright,http://en.wikipedia.org/wiki/Bailey_Wright,,,
Adam Taggart,http://en.wikipedia.org/wiki/Adam_Taggart,,,
Ben Halloran,http://en.wikipedia.org/wiki/Ben_Halloran,,,
Tommy Oar,http://en.wikipedia.org/wiki/Tommy_Oar,,,
Mitchell Langerak,http://en.wikipedia.org/wiki/Mitchell_Langerak,,,
Oliver Bozanic,http://en.wikipedia.org/wiki/Oliver_Bozani%C4%87,,,
James Troisi,http://en.wikipedia.org/wiki/James_Troisi,,,
Mile Jedinak ,http://en.wikipedia.org/wiki/Mile_Jedinak,,,
James Holland,http://en.wikipedia.org/wiki/James_Holland_(footballer),,,
Matt McKay,http://en.wikipedia.org/wiki/Matt_McKay,,,
Eugene Galekovic,http://en.wikipedia.org/wiki/Eugene_Galekovi%C4%87,,,
Ryan McGowan,http://en.wikipedia.org/wiki/Ryan_McGowan,,,
Dario Vidosic,http://en.wikipedia.org/wiki/Dario_Vido%C5%A1i%C4%87,,,
Massimo Luongo,http://en.wikipedia.org/wiki/Massimo_Luongo,,,
Alex Wilkinson,http://en.wikipedia.org/wiki/Alex_Wilkinson,,,
Mark Bresciano,http://en.wikipedia.org/wiki/Mark_Bresciano,,,
Tim Cahill,http://en.wikipedia.org/wiki/Tim_Cahill,,,
Ange Postecoglou (M),http://en.wikipedia.org/wiki/Ange_Postecoglou,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
