Player name,WIKI ID,,,,
Loic Feudjou,http://en.wikipedia.org/wiki/Maxime_Lo%C3%AFc_Feudjou,,,,
Benoit Assou-Ekotto,http://en.wikipedia.org/wiki/Beno%C3%AEt_Assou-Ekotto,,,,
Nicolas N’Koulou,http://en.wikipedia.org/wiki/Nicolas_N%27Koulou,,,,
Cedric Djeugoue,http://en.wikipedia.org/wiki/C%C3%A9dric_Djeugou%C3%A9,,,,
Dany Nounkeu,http://en.wikipedia.org/wiki/Dany_Nounkeu,,,,
Alex Song,http://en.wikipedia.org/wiki/Alex_Song,,,,
Landry N’Guemo,http://en.wikipedia.org/wiki/Landry_N%27Gu%C3%A9mo,,,,
Benjamin Moukandjo,http://en.wikipedia.org/wiki/Benjamin_Moukandjo,,,,
Samuel Eto’o,http://en.wikipedia.org/wiki/Samuel_Eto%27o,,,,
Vincent Aboubakar,http://en.wikipedia.org/wiki/Vincent_Aboubakar,,,,
Jean Makoun,http://en.wikipedia.org/wiki/Jean_Makoun,,,,
Henri Bedimo,http://en.wikipedia.org/wiki/Henri_Bedimo,,,,
Maxim Choupo-Moting,http://en.wikipedia.org/wiki/Eric_Maxim_Choupo-Moting,,,,
Aurelien Cjedjou,http://en.wikipedia.org/wiki/Aur%C3%A9lien_Chedjou,,,,
Pierre Webo,http://en.wikipedia.org/wiki/Pierre_Web%C3%B3,,,,
Charles Itandje,http://en.wikipedia.org/wiki/Charles_Itandje,,,,
Stephane Mbia,http://en.wikipedia.org/wiki/St%C3%A9phane_Mbia,,,,
Eyong Enoh,http://en.wikipedia.org/wiki/Eyong_Enoh,,,,
Fabrice Olinga,http://en.wikipedia.org/wiki/Fabrice_Olinga,,,,
Edgar Salli,http://en.wikipedia.org/wiki/Edgar_Salli,,,,
Joel Matip,http://en.wikipedia.org/wiki/Jo%C3%ABl_Matip,,,,
Allan Nyom,http://en.wikipedia.org/wiki/Allan_Nyom,,,,
Sammy N’Djock,http://en.wikipedia.org/wiki/Sammy_N%27Djock,,,,
Volker Finke (M),http://en.wikipedia.org/wiki/Volker_Finke,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
