Player name,Wiki ID,,,,
Claudio Bravo,http://en.wikipedia.org/wiki/Claudio_Bravo_(footballer),,,,
Eugenio Mena,http://en.wikipedia.org/wiki/Eugenio_Mena,,,,
Miiko Albornoz,http://en.wikipedia.org/wiki/Miiko_Albornoz,,,,
Mauricio Isla,http://en.wikipedia.org/wiki/Mauricio_Isla,,,,
Francisco Silva,http://en.wikipedia.org/wiki/Francisco_Silva,,,,
Carlos Carmona,http://en.wikipedia.org/wiki/Carlos_Carmona,,,,
Alexis Sanchez,http://en.wikipedia.org/wiki/Alexis_S%C3%A1nchez,,,,
Arturo Vidal,http://en.wikipedia.org/wiki/Arturo_Vidal,,,,
Mauricio Pinilla,http://en.wikipedia.org/wiki/Mauricio_Pinilla,,,,
Jorge Valdivia,http://en.wikipedia.org/wiki/Jorge_Vald%C3%ADvia,,,,
Eduardo Vargas,http://en.wikipedia.org/wiki/Eduardo_Vargas,,,,
Cristopher Toselli,http://en.wikipedia.org/wiki/Cristopher_Toselli,,,,
Jose Rojas,http://en.wikipedia.org/wiki/Jos%C3%A9_Manuel_Rojas,,,,
Rabian Orellana,http://en.wikipedia.org/wiki/Fabi%C3%A1n_Orellana,,,,
Jean Beausejour,http://en.wikipedia.org/wiki/Jean_Beausejour,,,,
Felipe Gutierrez,http://en.wikipedia.org/wiki/Felipe_Guti%C3%A9rrez,,,,
Gary Medel,http://en.wikipedia.org/wiki/Gary_Medel,,,,
Gonzalo Jara,http://en.wikipedia.org/wiki/Gonzalo_Jara,,,,
Jose Pedro Fuenzalida,http://en.wikipedia.org/wiki/Jos%C3%A9_Pedro_Fuenzalida,,,,
Charles Aranguiz,http://en.wikipedia.org/wiki/Charles_Ar%C3%A1nguiz,,,,
Marcelo Diaz,http://en.wikipedia.org/wiki/Marcelo_D%C3%ADaz,,,,
Esteban Paredes,http://en.wikipedia.org/wiki/Esteban_Paredes,,,,
Johnny Herrera,http://en.wikipedia.org/wiki/Johnny_Herrera_(goalkeeper),,,,
Jorge Sampaoli (M),http://en.wikipedia.org/wiki/Jorge_Sampaoli,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
