Player name,Wiki ID,,,,
Manuel Neuer,http://en.wikipedia.org/wiki/Manuel_Neuer,,,,
Kevin Grosskreutz,http://en.wikipedia.org/wiki/Kevin_Gro%C3%9Fkreutz,,,,
Matthias Ginter,http://en.wikipedia.org/wiki/Matthias_Ginter,,,,
Benedikt Hoewedes,http://en.wikipedia.org/wiki/Benedikt_H%C3%B6wedes,,,,
Mats Hummels,http://en.wikipedia.org/wiki/Mats_Hummels,,,,
Sami Khedira,http://en.wikipedia.org/wiki/Sami_Khedira,,,,
Bastian Schweinsteiger,http://en.wikipedia.org/wiki/Bastian_Schweinsteiger,,,,
Mesut Ozil,http://en.wikipedia.org/wiki/Mesut_%C3%96zil,,,,
Andre Schurrle,http://en.wikipedia.org/wiki/Andr%C3%A9_Sch%C3%BCrrle,,,,
Lukas Podolski,http://en.wikipedia.org/wiki/Lukas_Podolski,,,,
Miroslav Klose,http://en.wikipedia.org/wiki/Miroslav_Klose,,,,
Ron-Robert Zieler,http://en.wikipedia.org/wiki/Ron-Robert_Zieler,,,,
Thomas Mueller,http://en.wikipedia.org/wiki/Thomas_M%C3%BCller,,,,
Julian Draxler,http://en.wikipedia.org/wiki/Julian_Draxler,,,,
Erik Durm,http://en.wikipedia.org/wiki/Erik_Durm,,,,
Philipp Lahm,http://en.wikipedia.org/wiki/Philipp_Lahm,,,,
Per Mertesacker,http://en.wikipedia.org/wiki/Per_Mertesacker,,,,
Toni Kroos,http://en.wikipedia.org/wiki/Toni_Kroos,,,,
Mario Gotze,http://en.wikipedia.org/wiki/Mario_G%C3%B6tze,,,,
Jerome Boateng,http://en.wikipedia.org/wiki/J%C3%A9r%C3%B4me_Boateng,,,,
Marco Reus,http://en.wikipedia.org/wiki/Marco_Reus,,,,
Roman Weidenfeller,http://en.wikipedia.org/wiki/Roman_Weidenfeller,,,,
Christoph Kramer,http://en.wikipedia.org/wiki/Christoph_Kramer,,,,
Joachim Low (M),http://en.wikipedia.org/wiki/Joachim_L%C3%B6w,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
