Player name,Wiki ID,,,,
Adam Kwarasey,http://en.wikipedia.org/wiki/Adam_Larsen_Kwarasey,,,,
Fatau Dauda,http://en.wikipedia.org/wiki/Fatau_Dauda,,,,
Steven Adams,http://en.wikipedia.org/wiki/Steven_Adams_(footballer),,,,
Samuel Inkoom,http://en.wikipedia.org/wiki/Samuel_Inkoom,,,,
Harrison Afful,http://en.wikipedia.org/wiki/Harrison_Afful,,,,
John Boye,http://en.wikipedia.org/wiki/John_Boye,,,,
Jonathan Mensah,http://en.wikipedia.org/wiki/Jonathan_Mensah,,,,
Daniel Opare,http://en.wikipedia.org/wiki/Daniel_Opare,,,,
Rashid Sumaila,http://en.wikipedia.org/wiki/Rashid_Sumaila,,,,
Sulley Muntari,http://en.wikipedia.org/wiki/Sulley_Muntari,,,,
Kwadwo Asamoah,http://en.wikipedia.org/wiki/Kwadwo_Asamoah,,,,
Michael Essien,http://en.wikipedia.org/wiki/Michael_Essien,,,,
Emmanuel Agyemang-Badu,http://en.wikipedia.org/wiki/Emmanuel_Agyemang-Badu,,,,
Andre Ayew,http://en.wikipedia.org/wiki/Andr%C3%A9_Ayew,,,,
Christian Atsu,http://en.wikipedia.org/wiki/Christian_Atsu,,,,
Wakaso Mubrarak,http://en.wikipedia.org/wiki/Wakaso_Mubarak,,,,
Mohammed Rabiu,http://en.wikipedia.org/wiki/Mohammed_Rabiu,,,,
Albert Danquah-Adomah,http://en.wikipedia.org/wiki/Albert_Adomah,,,,
Afriyie Acquah,http://en.wikipedia.org/wiki/Afriyie_Acquah,,,,
Kevin-Prince Boateng,http://en.wikipedia.org/wiki/Kevin-Prince_Boateng,,,,
Asamoah Gyan,http://en.wikipedia.org/wiki/Asamoah_Gyan,,,,
Jordan Ayew,http://en.wikipedia.org/wiki/Jordan_Ayew,,,,
James Kwesi Appiah (M),http://en.wikipedia.org/wiki/James_Kwesi_Appiah,,,,
Majeed Waris,http://en.wikipedia.org/wiki/Abdul_Majeed_Waris,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
