Player name,Wiki ID,,,,
Gianluigi Buffon,http://en.wikipedia.org/wiki/Gianluigi_Buffon,,,,
Mattia De Sciglio,http://en.wikipedia.org/wiki/Mattia_De_Sciglio,,,,
Giorgio Chiellini,http://en.wikipedia.org/wiki/Giorgio_Chiellini,,,,
Matteo Darmian,http://en.wikipedia.org/wiki/Matteo_Darmian,,,,
Thiago Motta,http://en.wikipedia.org/wiki/Thiago_Motta,,,,
Antonio Candreva,http://en.wikipedia.org/wiki/Antonio_Candreva,,,,
Ignazio Abate,http://en.wikipedia.org/wiki/Ignazio_Abate,,,,
Claudio Marchisio,http://en.wikipedia.org/wiki/Claudio_Marchisio,,,,
Mario Balotelli,http://en.wikipedia.org/wiki/Mario_Balotelli,,,,
Antonio Cassano,http://en.wikipedia.org/wiki/Antonio_Cassano,,,,
Alessio Cerci,http://en.wikipedia.org/wiki/Alessio_Cerci,,,,
Salvatore Sirigu,http://en.wikipedia.org/wiki/Salvatore_Sirigu,,,,
Mattia Perin,http://en.wikipedia.org/wiki/Mattia_Perin,,,,
Alberto Aquilani,http://en.wikipedia.org/wiki/Alberto_Aquilani,,,,
Andrea Barzagli,http://en.wikipedia.org/wiki/Andrea_Barzagli,,,,
Daniele De Rossi,http://en.wikipedia.org/wiki/Daniele_De_Rossi,,,,
Ciro Immobile,http://en.wikipedia.org/wiki/Ciro_Immobile,,,,
Marco Parolo,http://en.wikipedia.org/wiki/Marco_Parolo,,,,
Leonardo Bonucci,http://en.wikipedia.org/wiki/Leonardo_Bonucci,,,,
Gabriel Paletta,http://en.wikipedia.org/wiki/Gabriel_Paletta,,,,
Andrea Pirlo,http://en.wikipedia.org/wiki/Andrea_Pirlo,,,,
Lorenzo Insigne,http://en.wikipedia.org/wiki/Lorenzo_Insigne,,,,
Marco Verratti,http://en.wikipedia.org/wiki/Marco_Verratti,,,,
Cesare Prandelli (M),http://en.wikipedia.org/wiki/Cesare_Prandelli,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
