Player name,,,,,
Boubacar Barry,http://en.wikipedia.org/wiki/Boubacar_Barry,,,,
Sylvain Gbohouo,http://en.wikipedia.org/wiki/Sylvain_Gbohouo,,,,
Sayouba Mande,http://en.wikipedia.org/wiki/Sayouba_Mand%C3%A9,,,,
Didier Zokora,http://en.wikipedia.org/wiki/Didier_Zokora,,,,
Kolo Toure,http://en.wikipedia.org/wiki/Kolo_Tour%C3%A9,,,,
Arthur Boka,http://en.wikipedia.org/wiki/Arthur_Boka,,,,
Sol Bamba,http://en.wikipedia.org/wiki/Sol_Bamba,,,,
Serge Aurier,http://en.wikipedia.org/wiki/Serge_Aurier,,,,
Constant Djakpa,http://en.wikipedia.org/wiki/Constant_Djakpa,,,,
Ousmane Viera,http://en.wikipedia.org/wiki/Ousmane_Viera,,,,
Jean-Daniel Akpa-Akpro,http://en.wikipedia.org/wiki/Jean-Daniel_Akpa-Akpro,,,,
Yaya Toure,http://en.wikipedia.org/wiki/Yaya_Tour%C3%A9,,,,
Cheick Tiote,http://en.wikipedia.org/wiki/Cheick_Tiot%C3%A9,,,,
Didier Ya Konan,http://en.wikipedia.org/wiki/Didier_Ya_Konan,,,,
Serey Die,http://en.wikipedia.org/wiki/Serey_Die,,,,
Ismael Diomande,http://en.wikipedia.org/wiki/Isma%C3%ABl_Diomand%C3%A9,,,,
Didier Drogba,http://en.wikipedia.org/wiki/Didier_Drogba,,,,
Salomon Kalou,http://en.wikipedia.org/wiki/Salomon_Kalou,,,,
Gervinho,http://en.wikipedia.org/wiki/Gervinho,,,,
Max Gradel,http://en.wikipedia.org/wiki/Max_Gradel,,,,
Wilfried Bony,http://en.wikipedia.org/wiki/Wilfried_Bony,,,,
Giovanni Sio,http://en.wikipedia.org/wiki/Giovanni_Sio,,,,
Mathis Bolly,http://en.wikipedia.org/wiki/Mathis_Bolly,,,,
Sabri Lamouchi (M),http://en.wikipedia.org/wiki/Sabri_Lamouchi,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
