Player name,Wiki ID,,,,,
Vincent Enyeama,http://en.wikipedia.org/wiki/Vincent_Enyeama,,,,,
Austine Ejide,http://en.wikipedia.org/wiki/Austin_Ejide,,,,,
Chigozie Agbim,http://en.wikipedia.org/wiki/Chigozie_Agbim,,,,,
Joseph Yobo,http://en.wikipedia.org/wiki/Joseph_Yobo,,,,,
Uwa Elderson Echiejile,http://en.wikipedia.org/wiki/Uwa_Elderson_Echi%C3%A9jil%C3%A9,,,,,
Efe Ambrose,http://en.wikipedia.org/wiki/Efe_Ambrose,,,,,
Godrey Oboabona,http://en.wikipedia.org/wiki/Godfrey_Oboabona,,,,,
Azubuike Egwuekwe,http://en.wikipedia.org/wiki/Azubuike_Egwuekwe,,,,,
Kenneth Omeruo,http://en.wikipedia.org/wiki/Kenneth_Omeruo,,,,,
Kunle Odunlami,http://en.wikipedia.org/wiki/Kunle_Odunlami,,,,,
Juwon Oshaniwa,http://en.wikipedia.org/wiki/Juwon_Oshaniwa,,,,,
John Obi Mikel,http://en.wikipedia.org/wiki/John_Obi_Mikel,,,,,
Victor Moses,http://en.wikipedia.org/wiki/Victor_Moses,,,,,
Ogenyi Onazi,http://en.wikipedia.org/wiki/Ogenyi_Onazi,,,,,
Reuben Gabriel,http://en.wikipedia.org/wiki/Reuben_Gabriel,,,,,
Michael Babatunde,http://en.wikipedia.org/wiki/Michael_Babatunde,,,,,
Ramon Azeez,http://en.wikipedia.org/wiki/Ramon_Azeez,,,,,
Peter Odemwingie,http://en.wikipedia.org/wiki/Peter_Odemwingie,,,,,
Ahmed Musa,http://en.wikipedia.org/wiki/Ahmed_Musa_(footballer),,,,,
Emmanuel Emenike,http://en.wikipedia.org/wiki/Emmanuel_Emenike,,,,,
Uche Nwofor,http://en.wikipedia.org/wiki/Uche_Nwofor,,,,,
Shola Ameobi,http://en.wikipedia.org/wiki/Shola_Ameobi,,,,,
Michael Uchebo,http://en.wikipedia.org/wiki/Michael_Uchebo,,,,,
Stephen Keshi (M),http://en.wikipedia.org/wiki/Stephen_Keshi,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
