Player name,GI ID,,,,,
Tim Howard,http://en.wikipedia.org/wiki/Tim_Howard,,,,,
DeAndre Yedlin,http://en.wikipedia.org/wiki/DeAndre_Yedlin,,,,,
Omar Gonzalez,http://en.wikipedia.org/wiki/Omar_Gonzalez,,,,,
Michael Bradley,http://en.wikipedia.org/wiki/Michael_Bradley_(soccer),,,,,
Matt Besler,http://en.wikipedia.org/wiki/Matt_Besler,,,,,
John Brooks,http://en.wikipedia.org/wiki/John_Anthony_Brooks,,,,,
DaMarcus Beasley,http://en.wikipedia.org/wiki/DaMarcus_Beasley,,,,,
Clint Dempsey,http://en.wikipedia.org/wiki/Clint_Dempsey,,,,,
Aron Johannsson,http://en.wikipedia.org/wiki/Aron_J%C3%B3hannsson,,,,,
Mikkel Diskerud,http://en.wikipedia.org/wiki/Mikkel_Diskerud,,,,,
Alejandro Bedoya,http://en.wikipedia.org/wiki/Alejandro_Bedoya,,,,,
Brad Guzan,http://en.wikipedia.org/wiki/Brad_Guzan,,,,,
Jermaine Jones,http://en.wikipedia.org/wiki/Jermaine_Jones,,,,,
Brad Davis,http://en.wikipedia.org/wiki/Brad_Davis_(soccer),,,,,
Kyle Beckerman,http://en.wikipedia.org/wiki/Kyle_Beckerman,,,,,
Julian Green,http://en.wikipedia.org/wiki/Julian_Green,,,,,
Jozy Altidore,http://en.wikipedia.org/wiki/Jozy_Altidore,,,,,
Chris Wondolowski,http://en.wikipedia.org/wiki/Chris_Wondolowski,,,,,
Graham Zusi,http://en.wikipedia.org/wiki/Graham_Zusi,,,,,
Geoff Cameron,http://en.wikipedia.org/wiki/Geoff_Cameron,,,,,
Timothy Chandler,http://en.wikipedia.org/wiki/Timothy_Chandler,,,,,
Nick Rimando,http://en.wikipedia.org/wiki/Nick_Rimando,,,,,
Fabian Johnson,http://en.wikipedia.org/wiki/Fabian_Johnson,,,,,
Jurgen Klinsmann (M),http://en.wikipedia.org/wiki/J%C3%BCrgen_Klinsmann,,,,,
,180467062,,,,,
,180468448,,,,,
,185140675,,,,,
,185140681,,,,,
,185140686,,,,,
,185140689,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
